remainBal,balF,purDone,oneOffPur,insPur,cashAdv,purF,oneOffPurF,insPurF,cashAdvF,cashAdvTRX,purTRX,creditLim,pymtDone,minPymt,fullPymtPCT,tenure
2329.4858,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,864.2065,0.0,12
1139.7829,1.0,0.0,0.0,0.0,120.6129,0.0,0.0,0.0,0.0833,1,0,1200.0,151.8237,2906.1108,0.0,12
1619.9557,1.0,739.44,739.44,0.0,0.0,0.6667,0.6667,0.0,0.0,0,11,6000.0,417.1285,389.1385,0.0,12
3505.6713,1.0,0.0,0.0,0.0,1713.9843,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,864.2065,0.0,12
4.708,0.3636,79.0,0.0,79.0,0.0,0.25,0.0,0.1667,0.0,0,3,7000.0,217.8202,121.7812,1.0,12
0.0,0.0,0.0,0.0,0.0,89.849,0.0,0.0,0.0,0.1429,1,0,3000.0,138.0214,864.2065,0.0,7
4.8759,0.6667,20.0,20.0,0.0,0.0,0.1111,0.1111,0.0,0.0,0,1,1500.0,26.4879,60.9136,0.0,9
23.3944,0.2727,1346.28,0.0,1346.28,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,712.1492,54.7917,0.0,12
3539.8019,1.0,2823.8,1540.41,1283.39,0.0,0.9167,0.9167,0.8333,0.0,0,75,5700.0,9172.7884,2103.7961,0.0833,12
0.6242,0.0909,389.96,0.0,389.96,0.0,1.0,0.0,1.0,0.0,0,31,4500.0,0.0,864.2065,0.0,12
862.0724,1.0,0.0,0.0,0.0,920.3098,0.0,0.0,0.0,0.0833,1,0,4000.0,2236.8903,214.8282,0.0833,12
2441.543,1.0,808.0,808.0,0.0,959.8573,0.25,0.25,0.0,0.3333,6,4,4000.0,532.7417,1026.976,0.0,12
408.6564,1.0,941.64,0.0,941.64,0.0,1.0,0.0,1.0,0.0,0,12,2500.0,1097.7894,176.6106,0.0833,12
4986.4008,1.0,0.0,0.0,0.0,5439.4676,0.0,0.0,0.0,0.5833,40,0,8000.0,1241.538,1439.2309,0.0,12
1246.6246,1.0,423.7,177.64,246.06,412.3991,0.6667,0.1667,0.5,0.0833,2,10,2000.0,577.0504,498.3654,0.0,12
6644.2017,1.0,4478.75,2721.59,1757.16,7205.5208,1.0,0.9167,1.0,0.5833,21,64,9000.0,10857.9432,2469.5713,0.0833,12
156.2168,0.8182,1354.86,585.63,769.23,0.0,0.9167,0.3333,0.8333,0.0,0,34,5500.0,858.9767,108.3199,0.0,12
3393.3512,1.0,0.0,0.0,0.0,1008.3487,0.0,0.0,0.0,0.0833,2,0,4200.0,0.0,864.2065,0.0,12
5322.9941,1.0,2812.2,857.12,1955.08,2510.353,1.0,0.25,1.0,0.3333,8,81,8500.0,1509.4232,1834.0316,0.0,12
6458.5621,1.0,0.0,0.0,0.0,3360.2288,0.0,0.0,0.0,0.25,11,0,7000.0,1277.7678,2760.1157,0.0,12
175.3417,0.8182,1508.9,1252.36,256.54,0.0,0.6667,0.4167,0.3333,0.0,0,14,5000.0,1884.2278,136.6398,1.0,12
680.1952,1.0,1045.57,667.95,377.62,0.0,1.0,0.5833,1.0,0.0,0,25,3000.0,552.4323,207.7204,0.0,12
223.7636,0.6364,2309.78,0.0,2309.78,0.0,0.5833,0.0,0.5,0.0,0,12,6500.0,1206.8119,99.3728,0.3333,12
1785.6269,1.0,0.0,0.0,0.0,576.2064,0.0,0.0,0.0,0.25,10,0,1800.0,687.6917,2439.1361,0.0,12
54.9332,0.2727,495.0,0.0,495.0,0.0,0.1667,0.0,0.1667,0.0,0,2,7000.0,1969.8456,147.05,1.0,12
2662.6299,1.0,0.0,0.0,0.0,509.0238,0.0,0.0,0.0,0.3333,4,0,3000.0,932.4189,709.207,0.0,12
8504.8763,1.0,6724.26,4100.08,2624.18,1686.5998,1.0,0.9167,1.0,0.5,10,85,17000.0,1888.7569,2167.4462,0.0,12
1464.3246,1.0,1174.39,1174.39,0.0,0.0,0.25,0.25,0.0,0.0,0,8,9000.0,0.0,864.2065,0.0,12
2114.1587,1.0,5580.85,0.0,5580.85,0.0,1.0,0.0,1.0,0.0,0,75,8500.0,3564.9778,630.0041,0.0,12
2876.3964,1.0,0.0,0.0,0.0,998.8487,0.0,0.0,0.0,0.1667,2,0,3200.0,1065.4269,1412.6481,0.0,12
14224.1154,1.0,0.0,0.0,0.0,4614.4274,0.0,0.0,0.0,0.3333,9,0,19000.0,3066.6143,3406.259,0.0,12
2392.9177,1.0,12462.44,12462.44,0.0,0.0,0.9167,0.9167,0.0,0.0,0,217,2800.0,11628.7156,2000.9909,0.0,12
57.4532,0.75,0.0,0.0,0.0,272.7133,0.0,0.0,0.0,0.125,1,0,1200.0,385.8539,84.6973,0.1667,8
4245.8551,1.0,1957.3,1077.3,880.0,0.0,0.8333,0.1667,0.5833,0.0,0,19,5000.0,1004.3547,1086.4289,0.0,12
11167.234,1.0,150.64,150.64,0.0,8362.1543,0.0833,0.0833,0.0,0.5,14,1,17000.0,2606.0594,2894.0772,0.0,12
69.4055,0.0909,0.0,0.0,0.0,2799.7149,0.0,0.0,0.0,0.0833,3,0,13000.0,0.0,864.2065,0.0,12
116.6541,0.2727,907.0,907.0,0.0,273.558,0.25,0.25,0.0,0.0833,1,8,5000.0,0.0,864.2065,0.0,12
4637.8481,1.0,1271.12,351.54,919.58,0.0,0.8333,0.25,0.8333,0.0,0,33,5000.0,1906.032,3572.2793,0.0,12
24.285,0.6364,250.6,0.0,250.6,0.0,0.5833,0.0,0.5,0.0,0,7,3000.0,319.7629,173.632,0.0,12
9354.0605,1.0,796.33,796.33,0.0,13748.4713,0.0833,0.0833,0.0,0.6667,16,1,13000.0,10664.6587,2600.8757,0.0833,12
231.109,1.0,440.0,0.0,440.0,0.0,0.9167,0.0,0.9167,0.0,0,22,4000.0,554.1165,185.091,0.0,12
1562.6333,1.0,1330.62,1169.63,160.99,0.0,0.5,0.1667,0.25,0.0,0,8,2000.0,1020.7836,709.6101,0.0,12
2494.8686,1.0,5491.79,1390.5,4101.29,0.0,1.0,0.5,1.0,0.0,0,52,17000.0,1015.312,615.924,0.0,12
706.1329,1.0,897.86,714.52,183.34,586.269,0.9167,0.3333,0.9167,0.25,3,18,1200.0,972.358,184.5244,0.0,12
19043.1386,1.0,22009.92,9449.07,12560.85,0.0,1.0,0.75,1.0,0.0,0,216,18000.0,23018.5758,18621.0133,0.0,12
2235.1033,1.0,720.6,720.6,0.0,723.3087,1.0,1.0,0.0,0.0833,1,12,2500.0,1061.2925,689.1189,0.0,12
947.1308,1.0,197.06,148.66,48.4,0.0,0.3333,0.25,0.1667,0.0,0,5,1000.0,492.2004,509.3842,0.0,12
764.0422,0.8182,0.0,0.0,0.0,1307.1025,0.0,0.0,0.0,0.1667,3,0,7500.0,1566.8069,172.9597,0.0,12
5347.8145,1.0,0.0,0.0,0.0,4002.3534,0.0,0.0,0.0,0.5,9,0,7000.0,0.0,864.2065,0.0,12
10598.4678,1.0,2084.48,1300.48,784.0,0.0,0.6667,0.4167,0.5833,0.0,0,13,21500.0,3219.6214,3068.1256,0.0,12
2163.6788,1.0,5779.36,3436.53,2342.83,0.0,1.0,1.0,1.0,0.0,0,97,6500.0,4416.4127,546.4391,0.0,12
3057.4006,1.0,1025.0,1025.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0,2,7500.0,698.8541,819.6827,0.0,12
19.3546,0.9091,689.7,0.0,689.7,0.0,0.8333,0.0,0.8333,0.0,0,10,10000.0,746.691,864.2065,0.0,12
264.8116,1.0,28.65,28.65,0.0,384.2618,0.0833,0.0833,0.0,0.0833,1,1,9000.0,1235.6301,194.3245,0.0833,12
1108.2225,0.9091,944.96,164.96,780.0,0.0,0.5,0.25,0.4167,0.0,0,9,1500.0,1955.199,992.6525,0.0,12
906.5737,1.0,1039.2,80.0,959.2,103.1021,0.8333,0.0833,0.8333,0.0833,1,11,13500.0,1855.2354,468.1967,0.0833,12
7679.629,1.0,4059.93,0.0,4059.93,555.4694,0.5833,0.0,0.5,0.1667,7,14,7000.0,3685.6106,12854.9397,0.0,12
1523.9115,1.0,4075.37,3322.28,753.09,0.0,1.0,1.0,1.0,0.0,0,31,6500.0,2254.26,329.2965,0.0,12
49.2063,1.0,870.24,0.0,870.24,0.0,1.0,0.0,1.0,0.0,0,24,8000.0,835.84,193.0112,1.0,12
13673.0796,1.0,9792.23,3959.81,5832.42,2444.4457,1.0,0.75,1.0,0.75,26,216,20000.0,11717.3079,6042.3916,0.0,12
106.456,0.6364,2463.12,789.53,1673.59,0.0,1.0,0.5,1.0,0.0,0,46,4000.0,2573.7228,95.3422,0.6364,12
119.7609,0.3636,1859.34,0.0,1859.34,0.0,0.3333,0.0,0.25,0.0,0,4,20000.0,3104.2756,288.9036,0.25,12
5837.1055,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15,46,7900.0,0.0,864.2065,0.0,12
1734.51,1.0,0.0,0.0,0.0,66.2759,0.0,0.0,0.0,0.1667,2,0,1800.0,363.4745,2827.9975,0.0,12
2765.7483,1.0,7283.31,5087.31,2196.0,0.0,1.0,1.0,0.6667,0.0,0,77,11000.0,14373.3929,1058.1285,0.25,12
1046.3704,1.0,295.0,295.0,0.0,93.5798,0.0833,0.0833,0.0,0.0833,1,2,1200.0,439.4071,362.8382,0.0,12
2737.3677,1.0,0.0,0.0,0.0,429.6912,0.0,0.0,0.0,0.4167,5,0,3000.0,778.828,721.7986,0.0,12
4014.8182,1.0,0.0,0.0,0.0,988.3562,0.0,0.0,0.0,0.0833,1,0,8500.0,1009.185,1177.1499,0.0,12
871.569,1.0,648.22,115.0,533.22,0.0,1.0,0.0833,1.0,0.0,0,27,1200.0,1110.8864,208.2984,0.0,12
1610.0402,1.0,557.19,525.64,31.55,0.0,0.25,0.0833,0.1667,0.0,0,5,4000.0,422.7118,616.0058,0.0,12
114.5938,1.0,469.98,0.0,469.98,0.0,1.0,0.0,0.8333,0.0,0,6,1000.0,367.1093,86.1025,0.5,6
5800.5873,1.0,0.0,0.0,0.0,369.9508,0.0,0.0,0.0,0.0833,1,0,6500.0,1346.3656,1972.526,0.0,12
823.1039,0.3636,131.64,0.0,131.64,0.0,1.0,0.0,1.0,0.0,0,12,8000.0,2916.0716,243.1995,0.0,12
595.6773,1.0,5078.14,4330.53,747.61,1424.4426,0.9167,0.6667,0.75,0.0833,1,42,15000.0,4756.6544,241.8941,0.9167,12
1128.1246,1.0,924.6,0.0,924.6,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,1202.7118,1747.0373,0.0,12
349.4411,1.0,1975.4,1393.5,581.9,0.0,0.6667,0.4167,0.3333,0.0,0,17,4000.0,1795.0122,167.2197,0.0,12
840.8041,0.6667,0.0,0.0,0.0,3671.7774,0.0,0.0,0.0,0.2222,5,0,4000.0,3621.2665,193.1714,0.0,9
975.942,1.0,10221.35,7141.38,3079.97,1620.6856,1.0,1.0,0.8333,0.5833,18,130,10500.0,10693.4958,347.6411,0.75,12
23.1111,0.3636,300.0,0.0,300.0,0.0,0.25,0.0,0.1667,0.0,0,3,12500.0,291.9488,43.4527,0.1818,12
2187.7323,0.8571,0.0,0.0,0.0,3905.3263,0.0,0.0,0.0,0.2857,9,0,3000.0,1423.7886,461.3656,0.2,7
11972.011,1.0,5715.0,4685.54,1029.46,1626.3514,1.0,1.0,1.0,0.1667,3,90,14000.0,4639.5137,3192.306,0.0,12
1608.4518,1.0,0.0,0.0,0.0,205.7372,0.0,0.0,0.0,0.1667,2,0,1800.0,470.566,408.7991,0.0,12
1872.9263,1.0,766.61,766.61,0.0,1017.1206,0.8333,0.8333,0.0,0.25,5,12,2300.0,0.0,864.2065,0.0,12
2933.2405,1.0,0.0,0.0,0.0,2040.4339,0.0,0.0,0.0,0.5833,13,0,3000.0,2431.5785,1739.7488,0.0,12
336.7999,1.0,3535.8,1614.7,1921.1,0.0,1.0,0.4167,0.9167,0.0,0,44,20000.0,2814.2312,186.2308,1.0,12
36.2363,0.4545,256.11,0.0,256.11,0.0,0.4167,0.0,0.4167,0.0,0,5,5300.0,831.3753,189.037,0.1667,12
903.2978,1.0,2697.48,150.5,2546.98,0.0,1.0,0.3333,1.0,0.0,0,39,2500.0,1686.1963,303.3616,0.0,12
0.0,0.0,23.0,0.0,23.0,0.0,0.0833,0.0,0.0833,0.0,0,1,5000.0,0.0,864.2065,0.0,12
2881.2536,1.0,117.0,0.0,117.0,17661.4949,0.25,0.0,0.1667,0.75,28,3,4500.0,17301.8324,931.6185,0.1667,12
5.466,0.0909,196.81,173.0,23.81,0.0,0.0833,0.0833,0.0833,0.0,0,3,12000.0,0.0,864.2065,0.0,12
117.4427,1.0,653.73,493.0,160.73,0.0,0.6667,0.4167,0.4167,0.0,0,15,10000.0,441.5881,136.828,0.0,12
168.5227,0.8182,2009.05,0.0,2009.05,0.0,0.8333,0.0,0.75,0.0,0,22,1200.0,2612.7605,197.6386,0.1429,12
1706.0144,1.0,147.78,0.0,147.78,1657.0903,0.1667,0.0,0.1667,0.25,4,2,6000.0,1186.0628,374.5955,0.0,12
874.5832,1.0,516.54,159.07,357.47,0.0,1.0,0.3333,0.9167,0.0,0,30,900.0,579.7493,693.8947,0.0,12
861.0012,1.0,969.56,969.56,0.0,446.2332,0.4167,0.4167,0.0,0.0833,1,6,2400.0,0.0,864.2065,0.0,12
966.2517,1.0,311.45,311.45,0.0,955.9597,0.3333,0.3333,0.0,0.0833,1,15,1500.0,277.5224,286.2993,0.0,12
38.6156,0.7273,280.4,280.4,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6150.0,254.393,55.7997,0.0909,12
189.688,1.0,66.14,66.14,0.0,0.0,0.0833,0.0833,0.0,0.0,0,2,6000.0,0.0,864.2065,0.0,12
40.4173,0.3636,79.2,79.2,0.0,1631.5764,0.0833,0.0833,0.0,0.0833,1,1,4000.0,1647.8808,24.8159,0.0833,12
5462.8971,1.0,1453.32,0.0,1453.32,0.0,0.5,0.0,0.5,0.0,0,18,16500.0,1382.2691,1755.2538,0.0,12
3983.9237,1.0,756.54,756.54,0.0,0.0,0.5,0.5,0.0,0.0,0,15,4000.0,1110.8709,1431.2012,0.0,12
5588.8463,1.0,3507.35,603.75,2903.6,0.0,0.9167,0.1667,0.8333,0.0,0,34,11500.0,1412.5973,1825.1765,0.0,12
